Artist,Genre,Start,End
Blackpink (Coachella),k-pop,9:00,10:00
Donavan’s Yard (Gobi),pop,11:55,11:59
$uicideboy$ (Sahara),rap,11:45,11:59
Calvin Harris (Coachella),pop,11:35,11:59
Keinemusik (Yuma),edm,11:00,11:59
Chromeo (Gobi),edm,10:40,11:30
Labrinth (Mojave),pop,10:35,11:35
The Kid Laroi (Sahara),pop,10:20,11:10
Eric Prydz Presents Holo (Outdoor),edm,10:20,11:20
Nia Archives (Sonora),edm,10:00,11:00
Monolink (Gobi),edm,9:30,10:15
Hot Since 82 (Yuma),edm,9:30,11:00
Underworld (Mojave),pop,9:05,10:00
Bakar (Sonora),rock,9:00,9:40
Eladio Carrión (Gobi),hip hop,8:20,9:05
Boygenius (Outdoor),indie,8;10,9:00
Tale of Us (Sahara),edm,8:05,9:00
WhoMadeWho (Yuma),edm,8:00,9:30
Sunset Rollercoaster (Sonora),pop,7:55,8:40
Jai Paul (Mojave),pop,7:40,8:30
Rosalía (Coachella),pop,7:00,8:10
Yaeji (Gobi),edm,7:00,7:50
Diljit Dosanjh (Sahara),pop,6:50,7:30
Jan Blomqvist (Yuma),pop,6:45,8:00
The Breeders (Sonora),indie,6:40,7:30
Sofi Tukker (Outdoor),edm,6:35,7:30
Remi Wolf (Mojave),indie,6:25,7:30
Shenseea (Gobi),r&b,5:55,6:35
Charli XCX (Coachella),pop,5:35,6:25
The Linda Lindas (Sonora),indie,5:35,6:35
Elderbrook (Sahara),edm,5:30,6:25
DJ Tennis + Carlita (Yuma),edm,5:30,6:45
Mura Masa (Mojave),edm,5:20,6:00
Hiatus Kaiyote (Outdoor),r&b,5:20,6:10
Dinner Party (Gobi),r&b,4:40,5:30
Ethel Cain (Sonora),indie,4:30,5:15
070 Shake (Coachella),hip hop,4:20,5:05
Kenny Beats (Sahara),hip hop,4:20,5:15
Yung Lean (Mojave),rock,4:15,4:55
Mathame (Yuma),edm,4:15,5:30
Earthgang (Outdoor),rap,4:10,4:55
UMI (Gobi),indie,3:35,4:15
Destroy Boys (Sonora),rock,3:35,4:10
Flo Milli (Sahara),pop,3:20,4:00
Snail Mail (Mojave),indie,3:10,3:50
Marc Rebillet (Coachella),r&b,3:00,3:45
Rebelution (Outdoor),r&b,3:00,3:45
Colyn (Yuma),r&b,3:00,4:15
Bratty (Sonora),indie,2:40,3:15
Elyanna  (Gobi),pop,2:30,3:10
Brn Luxxry (Coachella),edm,2:20,2:55
AG Club (Mojave),hip hop,2:10,2:50
Chloé Caillet (Yuma),edm,2:00,3:00
Venessa Michaels (Sahara),edm,1:50,3:05
Scowl (Sonora),indie,1:45,2:15
Yimbo (Outdoor),rap,1:40,2:50
dxsko (Gobi),edm,1:10,2:20
Francis Mercier (Yuma),edm,1:00,2:00
Horsegirl (Sonora),indie,1:00,1:30
Wave Groove (Mojave),hip hop,12:50,1:55
Talon (Yuma),rock,12:00,1:00
,,,
